Season,Phase,Round,Gamecode,NUM_ANOT,TEAM,ID_PLAYER,PLAYER,ID_ACTION,ACTION,POINTS,COORD_X,COORD_Y,ZONE,FASTBREAK,SECOND_CHANCE,POINTS_OFF_TURNOVER,MINUTE,CONSOLE,POINTS_A,POINTS_B,UTC
2024,RS,5,42,549,MAD,P013378,"RATHAN-MAYES, XAVIER",2FGA,Missed Two Pointer,0,401,81,E,0,0,0,34,06:03,81,57,20241024203348
2024,RS,5,42,552,RED,PJDR,"TEODOSIC, MILOS",2FGA,Missed Two Pointer,0,-420,244,F,0,0,0,35,05:50,81,57,20241024203400
2024,RS,5,42,554,RED,PJDR,"TEODOSIC, MILOS",3FGM,Three Pointer,3,-589,514,H,0,1,0,35,05:41,81,60,20241024203410
2024,RS,5,42,555,MAD,P005791,"TAVARES, WALTER",2FGM,Two Pointer,2,18,207,C,0,0,0,35,05:26,83,60,20241024203425
2024,RS,5,42,556,RED,P012044,"DOS SANTOS, YAGO",3FGA,Missed Three Pointer,0,382,664,I,0,0,0,35,05:08,83,60,20241024203443
2024,RS,5,42,559,MAD,P006540,"MUSA, DZANAN",3FGA,Missed Three Pointer,0,62,846,I,0,0,0,36,04:47,83,60,20241024203504
2024,RS,5,42,561,MAD,PTGB,"LLULL, SERGIO",3FGA,Missed Three Pointer,0,100,803,I,0,0,0,36,04:41,83,60,20241024203514
2024,RS,5,42,575,RED,PJDR,"TEODOSIC, MILOS",3FGM,Three Pointer,3,-138,784,H,0,0,1,36,04:09,83,63,20241024203710
2024,RS,5,42,577,MAD,P006540,"MUSA, DZANAN",3FGM,Three Pointer,3,639,414,I,0,0,0,37,03:47,86,63,20241024203732
2024,RS,5,42,584,RED,P012786,"DAUM, MIKE",3FGA,Missed Three Pointer,0,-621,520,H,0,0,0,37,03:34,86,63,20241024203930
2024,RS,5,42,586,MAD,P011649,"GONZALEZ, HUGO",2FGM,Two Pointer,2,0,181,B,0,0,0,37,03:18,88,63,20241024203946
2024,RS,5,42,587,RED,P010612,"CANAAN, ISAIAH",3FGA,Missed Three Pointer,0,-602,564,H,0,0,0,37,03:08,88,63,20241024203956
2024,RS,5,42,589,RED,P007960,"DAVIDOVAC, DEJAN",2FGA,Missed Two Pointer,0,-62,144,B,0,0,0,37,03:03,88,63,20241024204001
2024,RS,5,42,592,MAD,P006540,"MUSA, DZANAN",3FGM,Three Pointer,3,583,621,I,0,0,0,38,02:52,91,63,20241024204012
2024,RS,5,42,594,RED,P012786,"DAUM, MIKE",3FGA,Missed Three Pointer,0,-614,526,H,0,0,0,38,02:31,91,63,20241024204033
2024,RS,5,42,596,MAD,P006540,"MUSA, DZANAN",3FGA,Missed Three Pointer,0,595,483,I,0,0,0,38,02:22,91,63,20241024204042
2024,RS,5,42,598,RED,P010612,"CANAAN, ISAIAH",2FGM,Two Pointer,2,-282,75,D,0,0,0,38,02:10,91,65,20241024204054
2024,RS,5,42,604,MAD,P003733,"ABALDE, ALBERTO",2FGM,Two Pointer,2,-169,106,B,0,0,0,39,01:47,93,65,20241024204144
2024,RS,5,42,608,RED,P010612,"CANAAN, ISAIAH",FTM,Free Throw In,1,-1,-1, ,0,0,0,39,01:37,93,66,20241024204239
2024,RS,5,42,609,MAD,P003733,"ABALDE, ALBERTO",2FGA,Missed Two Pointer,0,-12,244,D,0,0,0,39,01:17,93,66,20241024204300
